Bella Bella	<http://vocab.getty.edu/ulan/500202967>	<http://vocab.getty.edu/aat/300017596>	Bellabella
Bembe (Kongo)	<http://vocab.getty.edu/ulan/500202971>	<http://vocab.getty.edu/aat/300016244>	Babembe; Bemba (Lower Democratic Republic of Congo style)
Benedictine	<http://vocab.getty.edu/ulan/500355082>	<http://vocab.getty.edu/aat/300148044>	Order of Saint Benedict; Order of St. Benedict; O.S.B. (Christian order); OSB (Christian order)
Benga	<http://vocab.getty.edu/ulan/500202973>	<http://vocab.getty.edu/aat/300263510>	Benge; Bonkoro; Mabenga; Mbenga (Equatorial Guinea, northern Gabon, and southern Cameroon style)
Beninese	<http://vocab.getty.edu/ulan/500202974>	<http://vocab.getty.edu/aat/300262993>	Be'ni; Beni'nese; Bini (Beninese)
Benue-Congo	<http://vocab.getty.edu/ulan/500202975>	<http://vocab.getty.edu/aat/300016090>	Benue River region
Beothuk	<http://vocab.getty.edu/ulan/500202976>	<http://vocab.getty.edu/aat/300017464>	Beothican; Beothukan
Bermudian	<http://vocab.getty.edu/ulan/500202978>	<http://vocab.getty.edu/aat/300385974>	
Beti	<http://vocab.getty.edu/ulan/500202979>	<http://vocab.getty.edu/aat/300016175>	Bati
Betsileo	<http://vocab.getty.edu/ulan/500202980>	<http://vocab.getty.edu/aat/300262514>	
Bhatgaon	<http://vocab.getty.edu/ulan/500202981>	<http://vocab.getty.edu/aat/300018835>	Bhaktapur; Bhaktapura; Bharatpur
Bhil	<http://vocab.getty.edu/ulan/500355229>	<http://vocab.getty.edu/aat/300385990>	Bheel
Bhutanese	<http://vocab.getty.edu/ulan/500202982>	<http://vocab.getty.edu/aat/300018816>	
Bijogo	<http://vocab.getty.edu/ulan/500202983>	<http://vocab.getty.edu/aat/300015913>	Bidyogo (culture or style); Bijago; Bijugo; Bissago
Binji	<http://vocab.getty.edu/ulan/500202985>	<http://vocab.getty.edu/aat/300262861>	Akavanda; Babindi; Babindji; Babinji; Bambangani; Bindi; Bindji; Mbangani; Tubishe
Birifor	<http://vocab.getty.edu/ulan/500202987>	<http://vocab.getty.edu/aat/300263438>	
Birnick	<http://vocab.getty.edu/ulan/500202988>	<http://vocab.getty.edu/aat/300016755>	
Birom	<http://vocab.getty.edu/ulan/500202989>	<http://vocab.getty.edu/aat/300263762>	Berom; Burum; Kibbo; Kibyen
Bisa	<http://vocab.getty.edu/ulan/500202990>	<http://vocab.getty.edu/aat/300262850>	Bisano; Bisapele; Bissa; Bousanou; Boussanse; Bouzantchi; Busanga; Busanse; Busansi; Bussansi
Bobo	<http://vocab.getty.edu/ulan/500202994>	<http://vocab.getty.edu/aat/300082545>	Black Bobo (Bobo); Bobo Fing; Bobo-Fing; Bobofing; Bobo Madere; Bwaba (Bobo); Bwanu (Bobo); Sia (Bobo)
Bogomil	<http://vocab.getty.edu/ulan/500355083>	<http://vocab.getty.edu/aat/300264423>	Bogomils; Bogomiles; Bogomile
Bohemian	<http://vocab.getty.edu/ulan/500125219>	<http://vocab.getty.edu/aat/300266148>	bohémien
Boki	<http://vocab.getty.edu/ulan/500202996>	<http://vocab.getty.edu/aat/300016077>	Bokyi; Byoki; Nfua; Nki; Okii; Osikom; Osukam; Uki; Vaaneroki
Bol'shaia Rechka	<http://vocab.getty.edu/ulan/500202997>	<http://vocab.getty.edu/aat/300018782>	
Bolewa	<http://vocab.getty.edu/ulan/500202998>	<http://vocab.getty.edu/aat/300262511>	Bole (Chad language groups); Borlawa; Fika
Bolivian	<http://vocab.getty.edu/ulan/500125257>	<http://vocab.getty.edu/aat/300107966>	
Bolognese	<http://vocab.getty.edu/ulan/500202999>	<http://vocab.getty.edu/aat/300385976>	
Bomitaba	<http://vocab.getty.edu/ulan/500203001>	<http://vocab.getty.edu/aat/300263069>	Bamitaba; Mbomitaba; Mbomotaba; Mitaba
Bondjo	<http://vocab.getty.edu/ulan/500203002>	<http://vocab.getty.edu/aat/300263173>	Bandjo; Bongio; Bonjo; Mbondjo
Bornean	<http://vocab.getty.edu/ulan/500203004>	<http://vocab.getty.edu/aat/300018717>	Kalimantan
Bororo (African)	<http://vocab.getty.edu/ulan/500203005>	<http://vocab.getty.edu/aat/300264465>	Wodaabe; Anagomba; Bodaado; Boror'en; Bororojo; Fulbe Burure; Fulbe Wodabe; Mbororo; Mbororo'en; Abore; Bororo'en; Borooji
Bororo (South American)	<http://vocab.getty.edu/ulan/500294440>	<http://vocab.getty.edu/aat/300018002>	
Bosnian Herzegovinian	<http://vocab.getty.edu/ulan/500203007>	<http://vocab.getty.edu/aat/300385978>	
Botocudo	<http://vocab.getty.edu/ulan/500294441>	<http://vocab.getty.edu/aat/300018003>	Aimoré; Aimore; Botecudos
Bougainville	<http://vocab.getty.edu/ulan/500203008>	<http://vocab.getty.edu/aat/300021924>	Bougainville Island
Boyo	<http://vocab.getty.edu/ulan/500203009>	<http://vocab.getty.edu/aat/300016400>	Buye; Baboyo; Ba Boyo; Babudjue; Babui; Babuya; Babuye; Babuyu; Babye; Bambuyu; Boboyo; Bubui; Buje (Maniema region style); Bujwe; Buy; Buyi (Maniema style); Buyu; Kibuyu; Mboyo; Mubuyu; Wabudje; Wabudjwe; Wabuye; Wabuyu; Waruva; Waruwa
Brahmo Samaj	<http://vocab.getty.edu/ulan/500355086>	<http://vocab.getty.edu/aat/300264367>	Brahmo Samāj; Brāma Samāj; Divine Society
Brazilian	<http://vocab.getty.edu/ulan/500203010>	<http://vocab.getty.edu/aat/300107967>	brésilien
