<http://vocab.getty.edu/ulan/500203090>	Chickasaw
<http://vocab.getty.edu/ulan/500203091>	Chilcotin
<http://vocab.getty.edu/ulan/500125258>	Chilean
<http://vocab.getty.edu/ulan/500203093>	Chimalhuacán
<http://vocab.getty.edu/ulan/500203092>	Chimú
<http://vocab.getty.edu/ulan/500203094>	Chinantec
<http://vocab.getty.edu/ulan/500203095>	Chinautla
<http://vocab.getty.edu/ulan/500203096>	Chincha
<http://vocab.getty.edu/ulan/500125222>	Chinese
<http://vocab.getty.edu/ulan/500355096>	Chinese Buddhist
<http://vocab.getty.edu/ulan/500203097>	Chinese Microlithic
<http://vocab.getty.edu/ulan/500203098>	Chinese-American
<http://vocab.getty.edu/ulan/500203099>	Chinook
<http://vocab.getty.edu/ulan/500355097>	Chinzei
<http://vocab.getty.edu/ulan/500203100>	Chipewyan
<http://vocab.getty.edu/ulan/500203102>	Chiricahua Apache
<http://vocab.getty.edu/ulan/500294353>	Chiriguano
<http://vocab.getty.edu/ulan/500203103>	Chitimacha
<http://vocab.getty.edu/ulan/500203104>	Chocho
<http://vocab.getty.edu/ulan/500203105>	Choctaw
<http://vocab.getty.edu/ulan/500294427>	Chocó
<http://vocab.getty.edu/ulan/500203106>	Choiseul
<http://vocab.getty.edu/ulan/500203107>	Chokwe
<http://vocab.getty.edu/ulan/500203108>	Chokwe-Lunda
<http://vocab.getty.edu/ulan/500203109>	Chola
<http://vocab.getty.edu/ulan/500355098>	Chondogyo
<http://vocab.getty.edu/ulan/500294456>	Chono
<http://vocab.getty.edu/ulan/500203110>	Chontal
<http://vocab.getty.edu/ulan/500203111>	Chopi
<http://vocab.getty.edu/ulan/500294411>	Chorotí
<http://vocab.getty.edu/ulan/500203112>	Chorrera
<http://vocab.getty.edu/ulan/500203113>	Chosen
<http://vocab.getty.edu/ulan/500203114>	Choukoutien
<http://vocab.getty.edu/ulan/500355100>	Christadelphian
<http://vocab.getty.edu/ulan/500355055>	Christian
<http://vocab.getty.edu/ulan/500355101>	Christian Scientist
<http://vocab.getty.edu/ulan/500203115>	Chugach
<http://vocab.getty.edu/ulan/500203116>	Chuka
<http://vocab.getty.edu/ulan/500203117>	Chumash
<http://vocab.getty.edu/ulan/500203118>	Chungwan
<http://vocab.getty.edu/ulan/500355104>	Church of Jesus Christ of Latter-Day Saints
<http://vocab.getty.edu/ulan/500203119>	Ciboney
<http://vocab.getty.edu/ulan/500203120>	Cilician
<http://vocab.getty.edu/ulan/500355105>	Cistercian
<http://vocab.getty.edu/ulan/500203121>	Clactonian
<http://vocab.getty.edu/ulan/500203122>	Classic Veracruz
<http://vocab.getty.edu/ulan/500355106>	Cluniac
<http://vocab.getty.edu/ulan/500203123>	Coast Salish
<http://vocab.getty.edu/ulan/500203124>	Coastal Akan
<http://vocab.getty.edu/ulan/500203125>	Cochiti
<http://vocab.getty.edu/ulan/500203126>	Cocopa
<http://vocab.getty.edu/ulan/500203127>	Coeur d'Alène
<http://vocab.getty.edu/ulan/500294457>	Colastiné
<http://vocab.getty.edu/ulan/500203128>	Colima
<http://vocab.getty.edu/ulan/500203129>	Colombian
<http://vocab.getty.edu/ulan/500203130>	Colonial American
<http://vocab.getty.edu/ulan/500203131>	Colonial British American
<http://vocab.getty.edu/ulan/500203132>	Colonial Canadian
<http://vocab.getty.edu/ulan/500203133>	Colonial French American
<http://vocab.getty.edu/ulan/500203135>	Colonial Spanish American
<http://vocab.getty.edu/ulan/500203136>	Colville
<http://vocab.getty.edu/ulan/500203137>	Comanche
<http://vocab.getty.edu/ulan/500294390>	Comechingón
<http://vocab.getty.edu/ulan/500355107>	Community of Christ
<http://vocab.getty.edu/ulan/500203138>	Comorian
<http://vocab.getty.edu/ulan/500203139>	Conchas
<http://vocab.getty.edu/ulan/500203140>	Concho
<http://vocab.getty.edu/ulan/500203141>	Conestoga
<http://vocab.getty.edu/ulan/500355108>	Confucian
<http://vocab.getty.edu/ulan/500203142>	Congolese
<http://vocab.getty.edu/ulan/500203143>	Congolese (Democratic Republic of Congo)
