y	c
http://dbpedia.org/resource/Xungen_movement	2
http://dbpedia.org/resource/Realism	2
http://dbpedia.org/resource/White_Rabbits_(sculptors)	2
http://dbpedia.org/resource/Tulenkantajat_(literature)	2
http://dbpedia.org/resource/Contemporanul	2
http://dbpedia.org/resource/Animalier	2
http://dbpedia.org/resource/Regina_Five	2
http://dbpedia.org/resource/La_Pléiade	2
http://dbpedia.org/resource/Augustan_literature	2
http://dbpedia.org/resource/Illustration	2
http://dbpedia.org/resource/Rhondda	2
http://dbpedia.org/resource/Berlin_Secession	2
http://dbpedia.org/resource/Dark_romanticism	2
http://dbpedia.org/resource/African-American_literature	2
http://dbpedia.org/resource/Hysterical_realism	2
http://dbpedia.org/resource/Pseudorealism	2
http://dbpedia.org/resource/Buraiha	2
http://dbpedia.org/resource/Generation_of_'36	2
http://dbpedia.org/resource/Georgian_Poetry	2
http://dbpedia.org/resource/Indigenous_Australians	2
http://dbpedia.org/resource/Power_electronics	1
http://dbpedia.org/resource/Tanittamil_Iyakkam	1
http://dbpedia.org/resource/Robert_Walker_Macbeth	1
http://dbpedia.org/resource/Flemish_painting	1
http://dbpedia.org/resource/Alternative_comics	1
http://dbpedia.org/resource/Bisexuality	1
http://dbpedia.org/resource/Brandywine_School	1
http://dbpedia.org/resource/Canaanism	1
http://dbpedia.org/resource/Geospatial_analysis	1
http://dbpedia.org/resource/Positivism_in_Poland	1
http://dbpedia.org/resource/Restoration_Movement	1
http://dbpedia.org/resource/Utrecht_Caravaggism	1
http://dbpedia.org/resource/Functionalism_(architecture)	1
http://dbpedia.org/resource/Perspective_(graphical)	1
http://dbpedia.org/resource/Small_press	1
http://dbpedia.org/resource/Lolicon	1
http://dbpedia.org/resource/Bohemianism	1
http://dbpedia.org/resource/Fauve	1
http://dbpedia.org/resource/Figurative	1
http://dbpedia.org/resource/Ordination_of_women	1
http://dbpedia.org/resource/Chromotherapy	1
http://dbpedia.org/resource/Moscow_Actionism	1
http://dbpedia.org/resource/Henrik_Ibsen	1
http://dbpedia.org/resource/National_Academy_Museum_and_School	1
http://dbpedia.org/resource/Beaver_Hall_Group	1
http://dbpedia.org/resource/Public_space	1
http://dbpedia.org/resource/Jack_Kerouac_School	1
http://dbpedia.org/resource/Self_Help_Graphics_&_Art	1
http://dbpedia.org/resource/Black_Power	1
http://dbpedia.org/resource/New_Italian_Epic	1
http://dbpedia.org/resource/White_Mountain_art	1
http://dbpedia.org/resource/Realism_(painting)	1
http://dbpedia.org/resource/Ancients_(art_group)	1
http://dbpedia.org/resource/Gaelic_revival	1
http://dbpedia.org/resource/Lightpainting	1
http://dbpedia.org/resource/Propaganda	1
http://dbpedia.org/resource/Italian_neorealism	1
http://dbpedia.org/resource/Theosophy	1
http://dbpedia.org/resource/Wildlife_art	1
http://dbpedia.org/resource/Suggestivism	1
http://dbpedia.org/resource/Modernity	1
http://dbpedia.org/resource/Paleoconservatism	1
http://dbpedia.org/resource/Transmedia_storytelling	1
http://dbpedia.org/resource/Generation_of_'98	1
http://dbpedia.org/resource/Narratology	1
http://dbpedia.org/resource/Heroic_realism	1
